weight_1,weight_2,weight_3,best_metric,metric_optimized,time
0.88044,0.04003,0.04978,0.90936017036438,0.90936017036438,69.15499925613403
0.42269,0.15141,0.35564,0.8350734114646912,0.8452720642089844,69.13499975204468
0.1839,0.74228,0.24683,0.7354817986488342,0.7424274682998657,68.71799993515015
0.87838,0.32721,0.67713,0.7216160297393799,0.759612500667572,69.33699989318848
0.08075,0.88859,0.11148,0.8491545915603638,0.8491545915603638,69.71099972724915
0.23774,0.67735,0.07289,0.6314773559570312,0.6599583625793457,69.4423816204071
0.10247,0.86534,0.0583,0.7184807658195496,0.7184807658195496,69.79302978515625
0.52589,0.49254,0.2164,0.7393243908882141,0.7453084588050842,69.87401962280273
0.65845,0.1859,0.16794,0.6927531957626343,0.6924229860305786,69.86418771743774
0.23705,0.48671,0.36602,0.9354803562164308,0.9393386840820312,70.03620791435242
0.58261,0.12248,0.05695,0.6160478591918945,0.6185377240180969,69.28017497062683
0.31976,0.22243,0.4187,0.9317545890808104,0.9402316212654114,69.96646237373352
0.90488,0.75732,0.12507,0.7401189804077148,0.7412481904029846,69.72299671173096
0.13796,0.84624,0.91954,0.7113380432128906,0.7113380432128906,69.19299817085266
0.29583,0.20008,0.733,0.6862058043479919,0.6746690273284912,69.39500093460083
0.69925,0.94135,0.47354,0.6687377691268921,0.6714407205581665,69.11100006103516
0.85547,0.09769,0.21326,0.5366043448448181,0.5402410626411438,69.74605059623718
0.68957,0.25271,0.11714,0.788238525390625,0.7917971611022949,69.97930550575256
0.23793,0.65826,0.08936,0.6991672515869141,0.70326167345047,69.16911196708679
0.71715,0.07036,0.25702,0.8273818492889404,0.8224685192108154,69.71629047393799
0.50313,0.40232,0.38311,0.3937358856201172,0.5414428114891052,69.35629439353943
0.66814,0.24858,0.22527,0.7968968749046326,0.8055927753448486,69.86822509765625
0.52092,0.27426,0.41946,0.7048298716545105,0.7149510979652405,69.3160834312439
0.29024,0.53388,0.12449,0.7298089265823364,0.7383562326431274,69.79911637306213
0.82726,0.04941,0.19293,0.699309766292572,0.699309766292572,69.91923666000366
0.18808,0.50149,0.20588,0.5519681572914124,0.5870556831359863,69.85648894309998
0.867,0.10866,0.28238,0.7219669818878174,0.7380511164665222,69.6440818309784
0.16681,0.23359,0.75316,0.7731364369392395,0.7733815312385559,69.92713499069214
0.38673,0.15537,0.64568,0.8376860022544861,0.8412711024284363,69.95214176177979
0.15423,0.7993,0.18618,0.7430521249771118,0.7467238903045654,70.0431661605835
0.53913,0.12426,0.42655,0.8056910634040833,0.8387699127197266,69.66510009765625
0.05333,0.62209,0.13965,0.6951026916503906,0.7683568000793457,69.74511814117432
0.20809,0.23637,0.63176,0.5818012952804565,0.5913418531417847,69.92112851142883
0.22515,0.50222,0.13946,0.7715547680854797,0.7821211814880371,70.08810329437256
0.19212,0.62392,0.10881,0.7956075072288513,0.8068860769271851,69.48518371582031
0.03946,0.95312,0.14371,0.679253101348877,0.679253101348877,69.97228860855103
0.12306,0.78742,0.28447,0.7386643290519714,0.7401304841041565,69.97835874557495
0.36712,0.42275,0.13094,0.7628701329231262,0.7781651020050049,69.83737635612488
0.59151,0.23115,0.24051,0.9426466822624208,0.9475581049919128,69.66501712799072
0.12415,0.69746,0.98734,0.8255617618560791,0.8194805383682251,69.35999965667725
0.01478,0.05009,0.85204,0.738066554069519,0.738066554069519,69.70306491851807
0.82268,0.15136,0.20569,0.8984554409980774,0.8982859253883362,70.8633816242218
0.97364,0.0491,0.11139,0.7593594193458557,0.7593594193458557,69.40105128288269
0.7784,0.32978,0.07682,0.6212050318717957,0.645034909248352,69.96720838546753
0.39705,0.37335,0.47118,0.7982619404792786,0.8055009841918945,69.5300989151001
0.32009,0.72244,0.18393,0.7984585762023926,0.8485896587371826,69.80512523651123
0.13734,0.25005,0.57513,0.6516781449317932,0.683223307132721,69.6650321483612
0.73713,0.24608,0.13517,0.6937780380249023,0.7071987986564636,69.8650689125061
0.65661,0.09807,0.15007,0.7675771117210388,0.7576746344566345,69.51803374290466
0.34297,0.31383,0.23287,0.5499917268753052,0.7483446002006531,69.67308402061462
0.14666,0.77336,0.10885,0.7674506902694702,0.7692810297012329,70.04304814338684
0.77834,0.78198,0.35829,0.4856224954128265,0.5136778950691223,69.36799883842468
0.56341,0.22289,0.177,0.8749619722366333,0.8775265216827393,69.6570360660553
