modelo_1,modelo_2,modelo_3,maior
0.7679764,0.7907865,0.7556183,0.7907865
0.73670083,0.7791137,0.7245385,0.7791137
0.7936504,0.7601515,0.7634647,0.7936504
0.716337,0.67083406,0.63902617,0.716337
0.72945523,0.7300559,0.68695676,0.7300559
0.58198166,0.6031969,0.59750473,0.6031969
0.9283795,0.6971445,0.9281315,0.9283795
0.7383247,0.691292,0.69319683,0.7383247
0.6325094,0.6670556,0.64851403,0.6670556
0.74039835,0.69151163,0.68060076,0.74039835
0.33065438,0.31480432,0.38255072,0.38255072
0.7793181,0.81492925,0.76359797,0.81492925
0.6677186,0.67112356,0.6386057,0.67112356
0.87921154,0.86498666,0.8031567,0.87921154
0.7865345,0.7065061,0.74032754,0.7865345
0.52490693,0.50454056,0.53795105,0.53795105
0.7550383,0.77854675,0.7640668,0.77854675
0.67907095,0.69302404,0.6474159,0.69302404
0.7972144,0.79565406,0.8159617,0.8159617
0.33298746,0.33298746,0.33298746,0.33298746
0.70440733,0.72572374,0.69456434,0.72572374
0.6845301,0.6681436,0.64599746,0.6845301
0.8173908,0.81022835,0.8106713,0.8173908
0.6775038,0.72290444,0.69850475,0.72290444
0.80703235,0.80201197,0.7593529,0.80703235
0.3593227,0.3871061,0.5028795,0.5028795
0.7035821,0.685117,0.602168,0.7035821
0.5077278,0.35815012,0.33294678,0.5077278
0.28103635,0.28106686,0.38443217,0.38443217
0.6230326,0.79831934,0.7756761,0.79831934
0.7341741,0.7296117,0.6930685,0.7341741
0.6639122,0.6228379,0.59275377,0.6639122
0.83000946,0.84436613,0.79429835,0.84436613
0.7015894,0.5092553,0.6817989,0.7015894
0.6319025,0.6616168,0.61719847,0.6616168
0.79443026,0.7666322,0.7516658,0.79443026
0.7603943,0.72954416,0.6913029,0.7603943
0.835512,0.82804155,0.8147713,0.835512
0.8382949,0.6196444,0.80352473,0.8382949
0.7028403,0.6961071,0.6853743,0.7028403
0.775115,0.775345,0.77779955,0.77779955
0.7214871,0.77780247,0.76871973,0.77780247
0.79150945,0.7797168,0.7799943,0.79150945
0.6360877,0.6161928,0.44124252,0.6360877
0.6431058,0.62994236,0.63845795,0.6431058
0.71853226,0.7228573,0.55532527,0.7228573
0.7181087,0.698996,0.70893985,0.7181087
0.8714191,0.84764695,0.8552828,0.8714191
0.7183311,0.6819968,0.6784646,0.7183311
0.73821145,0.76272184,0.7131098,0.76272184
0.689563,0.6856848,0.7055676,0.7055676
0.76921463,0.8174903,0.74683267,0.8174903
0.6209268,0.64857644,0.63199717,0.64857644
0.7165324,0.7062475,0.70771235,0.7165324
0.6806286,0.66667986,0.65876347,0.6806286
0.67753226,0.6759474,0.70641565,0.70641565
0.65122354,0.6491425,0.7454486,0.7454486
0.8849522,0.6170652,0.6219294,0.8849522
0.63459575,0.47678703,0.6438994,0.6438994
0.774688,0.7343146,0.76981753,0.774688
0.527436,0.6585053,0.6518706,0.6585053
0.8084669,0.78631496,0.75576186,0.8084669
0.69608086,0.6711779,0.64700866,0.69608086
0.8565143,0.86159533,0.86913127,0.86913127
0.6364574,0.6383396,0.6423742,0.6423742
0.7201818,0.7096722,0.619221,0.7201818
0.75727075,0.75568855,0.687888,0.75727075
0.72635025,0.7249666,0.6903305,0.72635025
0.72868943,0.70729357,0.6867449,0.72868943
0.6952779,0.7475831,0.6996495,0.7475831
0.8394118,0.8314286,0.6579876,0.8394118
0.59316045,0.67447823,0.6567634,0.67447823
0.7340167,0.7250884,0.7767388,0.7767388
0.7954987,0.77331257,0.752939,0.7954987
0.8117425,0.80754447,0.590985,0.8117425
0.7088003,0.64260256,0.66208404,0.7088003
0.87324125,0.86156124,0.85586315,0.87324125
0.6979709,0.69902164,0.6933298,0.69902164
0.7082185,0.694363,0.69389683,0.7082185
0.851351,0.80345756,0.8087767,0.851351
0.8570326,0.84220886,0.8030166,0.8570326
0.7244628,0.6933117,0.65709287,0.7244628
0.79173154,0.7747283,0.78915846,0.79173154
0.62390953,0.62811106,0.6393035,0.6393035
0.72503805,0.70722395,0.6833057,0.72503805
0.544361,0.51124316,0.6587436,0.6587436
0.58436686,0.6194053,0.56847596,0.6194053
0.66800225,0.5892972,0.6206853,0.66800225
0.7734702,0.73678297,0.6944545,0.7734702
0.48544842,0.47429916,0.49675477,0.49675477
0.83527404,0.61909866,0.84602696,0.84602696
0.80681324,0.80420977,0.81759316,0.81759316
0.5744907,0.5589941,0.49113703,0.5744907
0.8643995,0.84587634,0.80051297,0.8643995
0.5612561,0.50785506,0.5402482,0.5612561
0.8037151,0.8284329,0.7634852,0.8284329
0.72354686,0.71585757,0.7187128,0.72354686
0.704334,0.71311796,0.67797196,0.71311796
0.6351858,0.62217104,0.5494802,0.6351858
0.6073096,0.626062,0.6141606,0.626062
0.54853904,0.5359291,0.54479855,0.54853904
0.72505265,0.77026397,0.76094097,0.77026397
0.33225492,0.39715496,0.35642043,0.39715496
0.6001389,0.6012585,0.5894129,0.6012585
0.83977926,0.83688307,0.820114,0.83977926
0.8610773,0.84108406,0.8312421,0.8610773
0.6267249,0.6622283,0.6221984,0.6622283
0.86278725,0.63842285,0.8585302,0.86278725
0.44770584,0.4118841,0.4799644,0.4799644
0.9566353,0.9487017,0.9468322,0.9566353
0.6750495,0.6552462,0.65420437,0.6750495
0.7630111,0.7517055,0.71844167,0.7630111
0.54826504,0.79519993,0.7399895,0.79519993
0.58317024,0.58266693,0.6053721,0.6053721
0.77586454,0.757683,0.75227946,0.77586454
0.89358217,0.85544467,0.8078942,0.89358217
0.6523888,0.69870126,0.67882425,0.69870126
0.5960634,0.5846379,0.7593012,0.7593012
0.86153245,0.8247335,0.8119407,0.86153245
0.52577925,0.558841,0.5394942,0.558841
0.6708154,0.4775051,0.6282458,0.6708154
